iter	Passed	Remaining
236	702807	2262624
237	705955	2260244
238	709296	2258470
239	712782	2257143
240	716526	2256613
241	720091	2255493
242	723217	2252987
243	726139	2249840
244	728806	2245914
245	731762	2242882
246	735474	2242153
247	738661	2239813
248	741801	2237321
249	745051	2235153
250	748299	2232971
251	751449	2230493
252	754759	2228479
253	757751	2225522
254	761092	2223582
255	764182	2220906
256	767295	2218288
257	770489	2215904
258	773769	2213758
259	777310	2212345
260	780468	2209833
261	783727	2207598
262	787188	2205923
263	790363	2203436
264	793401	2200567
265	796825	2198759
266	800209	2196830
267	803627	2194982
268	806742	2192299
269	809897	2189723
270	813551	2188484
271	817452	2187887
272	821171	2186783
273	824603	2184898
274	827719	2182169
275	831199	2180392
276	834457	2178024
277	837421	2174884
278	840173	2171200
279	843220	2168281
280	846629	2166287
281	850092	2164420
282	853148	2161510
283	856619	2159647
284	859758	2156937
285	863005	2154495
286	866749	2153283
287	869796	2150330
288	872838	2147365
289	876196	2145171
290	879627	2143146
291	882828	2140557
292	885878	2137597
293	889233	2135370
294	892500	2132925
295	895989	2131002
296	899437	2128971
297	902376	2125731
298	905404	2122704
299	908749	2120415
300	911941	2117765
301	915226	2115324
302	918661	2113224
303	921576	2109925
304	925001	2107789
305	928270	2105293
306	931263	2102167
307	934686	2100010
308	937571	2096639
309	940629	2093659
310	943933	2091222
311	947144	2088575
312	950294	2085790
313	953282	2082649
314	956627	2080285
315	960018	2078014
316	963192	2075270
317	966367	2072524
318	969271	2069197
319	972454	2066464
320	975260	2062933
321	978512	2060345
322	981414	2057020
323	984599	2054287
324	987950	2051897
325	991399	2049704
326	994580	2046949
327	997705	2044080
328	1000577	2040692
329	1003845	2038111
330	1007180	2035661
331	1010550	2033276
332	1013626	2030297
333	1016935	2027782
334	1019954	2024685
335	1023103	2021848
336	1026186	2018876
337	1029027	2015433
338	1031667	2011599
339	1034723	2008581
340	1037891	2005777
341	1040755	2002389
342	1043860	1999463
343	1046797	1996218
344	1049901	1993291
345	1053244	1990814
346	1056275	1987745
347	1059743	1985496
348	1062929	1982713
349	1066252	1980182
350	1069183	1976923
